,Unnamed: 0,keyword,location,polarity,date,quater
1742425,1742425,Газпром,Belarus,0.7142857143000001,2018-10-10,4
1742427,1742427,Газпром,Belarus,0.0,2018-10-10,4
1742428,1742428,Газпром,Belarus,0.2,2018-10-10,4
1742429,1742429,Газпром,Belarus,-0.2,2018-10-09,4
1742430,1742430,Газпром,Belarus,0.0,2018-10-08,4
1742431,1742431,Газпром,Belarus,0.0,2018-10-06,4
1742432,1742432,Газпром,Belarus,0.29577464789999997,2018-10-06,4
1742434,1742434,Газпром,Belarus,0.0,2018-10-05,4
1742435,1742435,Газпром,Belarus,0.6190476189999999,2018-10-05,4
1742436,1742436,Газпром,Belarus,0.6666666667000001,2018-10-05,4
1742437,1742437,Газпром,Belarus,0.6000000000000001,2018-10-05,4
1742439,1742439,Газпром,Belarus,0.6363636364,2018-10-05,4
1742442,1742442,Газпром,Belarus,-0.14285714289999998,2018-10-04,4
1742443,1742443,Газпром,Belarus,0.0,2018-10-04,4
1742444,1742444,Газпром,Belarus,0.0,2018-10-03,4
1742445,1742445,Газпром,Belarus,0.30000000000000004,2018-10-03,4
1742446,1742446,Газпром,Belarus,0.0,2018-10-02,4
1742447,1742447,Газпром,Belarus,-0.6000000000000001,2018-10-02,4
1742448,1742448,Газпром,Belarus,0.11111111109999999,2018-10-02,4
1742449,1742449,Газпром,Belarus,0.0731707317,2018-10-02,4
1742451,1742451,Газпром,Belarus,0.42857142859999997,2018-10-01,4
1742452,1742452,Газпром,Belarus,0.4,2018-10-01,4
1742868,1742868,ГАЗ,Belarus,0.4352941176,2018-12-13,4
1742871,1742871,Газпром,Belarus,-0.11111111109999999,2018-12-12,4
1742873,1742873,ГАЗ,Belarus,-0.0980392157,2018-12-12,4
1742874,1742874,Газпром,Belarus,-0.0980392157,2018-12-12,4
1742876,1742876,ГАЗ,Belarus,0.2054794521,2018-12-12,4
1742877,1742877,ГАЗ,Belarus,-0.12,2018-12-12,4
1742878,1742878,Газпром,Belarus,-0.7142857143000001,2018-12-12,4
1742879,1742879,ГАЗ,Belarus,0.3181818182,2018-12-11,4
1745327,1745327,ГАЗ,Belarus,0.0,2018-11-12,4
1745346,1745346,ГАЗ,Belarus,0.36842105259999997,2018-11-11,4
1745370,1745370,ГАЗ,Belarus,0.2631578947,2018-11-10,4
1745380,1745380,ГАЗ,Belarus,0.4133333333,2018-11-09,4
1745383,1745383,ГАЗ,Belarus,-0.25,2018-11-09,4
1746198,1746198,КАМАЗ,Belarus,-0.33333333330000003,2018-12-11,4
1746206,1746206,КАМАЗ,Belarus,-1.0,2018-12-11,4
1746710,1746710,КАМАЗ,Belarus,-0.5,2018-11-19,4
1746791,1746791,ГАЗ,Belarus,0.3125,2018-12-07,4
1748295,1748295,ГАЗ,Belarus,0.15789473680000002,2018-10-27,4
1750411,1750411,Газпром,Belarus,0.42105263159999995,2018-10-23,4
1750416,1750416,Газпром,Belarus,0.4159292035,2018-10-23,4
1750445,1750445,ГАЗ,Belarus,0.2368421053,2018-10-22,4
1750448,1750448,ГАЗ,Belarus,0.2941176471,2018-10-22,4
